path,file_name,category_guess,width,height,aspect_ratio,has_alpha,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_width,bbox_height,bbox_aspect_ratio,transparent_padding_left,transparent_padding_right,transparent_padding_top,transparent_padding_bottom,transparent_percent,coverage_percent,corner_transparency_ratios,row_width_profile,rough_shape_classification,classification,confidence,notes
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_1.png,Barrier1_1.png,wall,35,114,0.307,True,3,1,33,112,31,112,0.2768,3,1,1,1,29.5,70.5,"{""top_left"": 0.9286, ""top_right"": 1.0, ""bottom_left"": 0.539, ""bottom_right"": 0.7597}","{""samples_at_0_25_50_75_100_percent"": [0, 22, 31, 31, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 31, ""peak_row_index"": 39, ""monotonic_diamond_score"": 0.9027}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_2.png,Barrier1_2.png,wall,130,60,2.1667,True,3,1,129,56,127,56,2.2679,3,0,1,3,33.05,66.95,"{""top_left"": 0.7853, ""top_right"": 0.7981, ""bottom_left"": 0.8109, ""bottom_right"": 0.7532}","{""samples_at_0_25_50_75_100_percent"": [0, 101, 105, 101, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 115, ""peak_row_index"": 32, ""monotonic_diamond_score"": 0.8305}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_3.png,Barrier1_3.png,wall,36,112,0.3214,True,3,0,33,110,31,111,0.2793,3,2,0,1,30.38,69.62,"{""top_left"": 0.9805, ""top_right"": 1.0, ""bottom_left"": 0.5195, ""bottom_right"": 0.7338}","{""samples_at_0_25_50_75_100_percent"": [1, 23, 31, 31, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 31, ""peak_row_index"": 46, ""monotonic_diamond_score"": 0.973}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_4.png,Barrier1_4.png,wall,126,59,2.1356,True,1,1,124,56,124,56,2.2143,1,1,1,2,30.13,69.87,"{""top_left"": 0.5382, ""top_right"": 1.0, ""bottom_left"": 0.4982, ""bottom_right"": 0.9491}","{""samples_at_0_25_50_75_100_percent"": [0, 92, 107, 102, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 122, ""peak_row_index"": 38, ""monotonic_diamond_score"": 0.7931}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_5.png,Barrier1_5.png,wall,94,97,0.9691,True,1,1,92,95,92,95,0.9684,1,1,1,1,52.2,47.8,"{""top_left"": 0.4006, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.7456}","{""samples_at_0_25_50_75_100_percent"": [0, 41, 75, 57, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 76, ""peak_row_index"": 52, ""monotonic_diamond_score"": 0.9375}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_6.png,Barrier1_6.png,wall,100,99,1.0101,True,0,1,98,92,99,92,1.0761,0,1,1,6,55.52,44.48,"{""top_left"": 1.0, ""top_right"": 0.9158, ""bottom_left"": 0.5421, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 48, 75, 43, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 78, ""peak_row_index"": 44, ""monotonic_diamond_score"": 0.9694}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_7.png,Barrier1_7.png,wall,97,97,1.0,True,0,1,96,95,97,95,1.0211,0,0,1,1,53.27,46.73,"{""top_left"": 1.0, ""top_right"": 0.7701, ""bottom_left"": 0.6537, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 40, 77, 50, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 77, ""peak_row_index"": 46, ""monotonic_diamond_score"": 0.9583}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier1_8.png,Barrier1_8.png,wall,92,97,0.9485,True,1,3,90,95,90,93,0.9677,1,1,3,1,51.32,48.68,"{""top_left"": 0.3889, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.617}","{""samples_at_0_25_50_75_100_percent"": [0, 40, 75, 57, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 75, ""peak_row_index"": 47, ""monotonic_diamond_score"": 0.9688}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier2_1.png,Barrier2_1.png,wall,119,63,1.8889,True,1,2,117,61,117,60,1.95,1,1,2,1,48.1,51.9,"{""top_left"": 0.8551, ""top_right"": 1.0, ""bottom_left"": 0.8261, ""bottom_right"": 0.8804}","{""samples_at_0_25_50_75_100_percent"": [0, 90, 37, 108, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 111, ""peak_row_index"": 39, ""monotonic_diamond_score"": 0.7903}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrier2_2.png,Barrier2_2.png,wall,35,112,0.3125,True,1,1,30,110,30,110,0.2727,1,4,1,1,56.38,43.62,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 0.7013, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 13, 28, 18, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 28, ""peak_row_index"": 50, ""monotonic_diamond_score"": 0.8739}",wall strip,CATEGORY D - WALL STRIP / BUILDING PIECE,0.75,wall/building-like filename and non-floor use
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_1.png,Barrel1_1.png,prop,63,101,0.6238,True,0,1,61,97,62,97,0.6392,0,1,1,3,44.79,55.21,"{""top_left"": 0.9125, ""top_right"": 1.0, ""bottom_left"": 0.6042, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 26, 43, 48, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 58, ""peak_row_index"": 58, ""monotonic_diamond_score"": 0.88}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_2.png,Barrel1_2.png,prop,66,85,0.7765,True,1,0,64,83,64,84,0.7619,1,1,0,1,44.78,55.22,"{""top_left"": 0.629, ""top_right"": 1.0, ""bottom_left"": 0.9819, ""bottom_right"": 0.9683}","{""samples_at_0_25_50_75_100_percent"": [4, 40, 47, 47, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 53, ""peak_row_index"": 55, ""monotonic_diamond_score"": 0.9524}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_3.png,Barrel1_3.png,prop,66,75,0.88,True,2,1,64,71,63,71,0.8873,2,1,1,3,40.79,59.21,"{""top_left"": 0.559, ""top_right"": 1.0, ""bottom_left"": 0.7846, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 40, 52, 43, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 60, ""peak_row_index"": 42, ""monotonic_diamond_score"": 0.9459}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_4.png,Barrel1_4.png,prop,74,91,0.8132,True,3,1,72,86,70,86,0.814,3,1,1,4,49.85,50.15,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 0.5952, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 42, 48, 46, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 70, ""peak_row_index"": 52, ""monotonic_diamond_score"": 0.8889}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_5.png,Barrel1_5.png,prop,60,98,0.6122,True,1,3,58,96,58,94,0.617,1,1,3,1,43.44,56.56,"{""top_left"": 0.636, ""top_right"": 1.0, ""bottom_left"": 0.7193, ""bottom_right"": 0.9649}","{""samples_at_0_25_50_75_100_percent"": [0, 20, 49, 49, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 53, ""peak_row_index"": 67, ""monotonic_diamond_score"": 0.8969}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_6.png,Barrel1_6.png,prop,68,92,0.7391,True,1,1,67,90,67,90,0.7444,1,0,1,1,44.15,55.85,"{""top_left"": 0.9145, ""top_right"": 1.0, ""bottom_left"": 0.3675, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 34, 56, 47, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 59, ""peak_row_index"": 48, ""monotonic_diamond_score"": 0.9341}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_7.png,Barrel1_7.png,prop,63,80,0.7875,True,1,2,61,79,61,78,0.7821,1,1,2,0,41.19,58.81,"{""top_left"": 0.7708, ""top_right"": 1.0, ""bottom_left"": 0.9115, ""bottom_right"": 0.9896}","{""samples_at_0_25_50_75_100_percent"": [0, 45, 49, 45, 1], ""min_visible_row_width"": 0, ""max_visible_row_width"": 53, ""peak_row_index"": 50, ""monotonic_diamond_score"": 0.9114}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel1_8.png,Barrel1_8.png,prop,66,78,0.8462,True,1,0,62,76,62,77,0.8052,1,3,0,1,39.86,60.14,"{""top_left"": 0.7641, ""top_right"": 1.0, ""bottom_left"": 0.4103, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [2, 41, 62, 54, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 62, ""peak_row_index"": 38, ""monotonic_diamond_score"": 0.9351}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel2_1.png,Barrel2_1.png,prop,59,75,0.7867,True,4,1,57,73,54,73,0.7397,4,1,1,1,32.75,67.25,"{""top_left"": 0.7515, ""top_right"": 1.0, ""bottom_left"": 0.7818, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 39, 53, 47, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 54, ""peak_row_index"": 39, ""monotonic_diamond_score"": 1.0}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Barrel2_2.png,Barrel2_2.png,prop,60,74,0.8108,True,5,1,58,72,54,72,0.75,5,1,1,1,33.04,66.96,"{""top_left"": 0.7917, ""top_right"": 1.0, ""bottom_left"": 0.8274, ""bottom_right"": 0.994}","{""samples_at_0_25_50_75_100_percent"": [0, 39, 53, 48, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 54, ""peak_row_index"": 38, ""monotonic_diamond_score"": 0.9863}",free prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_1.png,Billboard10_1.png,tall,39,103,0.3786,True,5,2,33,99,29,98,0.2959,5,5,2,3,53.85,46.15,"{""top_left"": 1.0, ""top_right"": 0.8143, ""bottom_left"": 0.8357, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 7, 24, 24, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 24, ""peak_row_index"": 35, ""monotonic_diamond_score"": 0.9608}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_2.png,Billboard10_2.png,tall,61,106,0.5755,True,3,1,55,100,53,100,0.53,3,5,1,5,70.29,29.71,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.6071}","{""samples_at_0_25_50_75_100_percent"": [0, 10, 24, 24, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 51, ""peak_row_index"": 35, ""monotonic_diamond_score"": 0.9714}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_3.png,Billboard10_3.png,tall,36,87,0.4138,True,3,1,31,82,29,82,0.3537,3,4,1,4,48.34,51.66,"{""top_left"": 0.9748, ""top_right"": 0.9832, ""bottom_left"": 1.0, ""bottom_right"": 0.7899}","{""samples_at_0_25_50_75_100_percent"": [0, 24, 28, 24, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 28, ""peak_row_index"": 40, ""monotonic_diamond_score"": 0.9535}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_4.png,Billboard10_4.png,tall,63,84,0.75,True,4,1,56,80,53,80,0.6625,4,6,1,3,63.34,36.66,"{""top_left"": 0.9219, ""top_right"": 0.9323, ""bottom_left"": 0.5365, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 31, 24, 25, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 52, ""peak_row_index"": 16, ""monotonic_diamond_score"": 0.9036}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_5.png,Billboard10_5.png,tall,52,106,0.4906,True,1,1,46,105,46,105,0.4381,1,5,1,0,58.85,41.15,"{""top_left"": 0.819, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.781}","{""samples_at_0_25_50_75_100_percent"": [0, 14, 31, 31, 2], ""min_visible_row_width"": 0, ""max_visible_row_width"": 33, ""peak_row_index"": 45, ""monotonic_diamond_score"": 0.8952}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_1\CyberCity_Core_Tiles_1\Billboard10_6.png,Billboard10_6.png,tall,62,94,0.6596,True,4,2,60,92,57,91,0.6264,4,1,2,1,61.05,38.95,"{""top_left"": 1.0, ""top_right"": 0.6157, ""bottom_left"": 0.7083, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 15, 31, 31, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 33, ""peak_row_index"": 33, ""monotonic_diamond_score"": 0.8817}",tall prop,CATEGORY C - DIMETRIC / ISOMETRIC-LOOKING PARALLAX SPRITE,0.72,standalone prop-like filename and variable object placement expected
