global_frame_index,row_index,column_index,frame_path,frame_path_os,source_layer_paths,image_size,visible_bbox,bbox_w,bbox_h,bbox_center,feet_base_y,alpha_coverage,blank,partial_or_cut_off,full_body_heuristic_score,anchor_point,notes
10,0,10,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c10.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c10.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[67, 55, 128, 147]",61,92,"[97.5, 101.0]",147.0,12.049975,False,False,0.4,"[97.5, 147.0]",
11,0,11,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c11.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c11.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[76, 53, 132, 143]",56,90,"[104.0, 98.0]",143.0,11.137025,False,False,0.4,"[104.0, 143.0]",
12,0,12,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c12.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c12.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[82, 53, 120, 143]",38,90,"[101.0, 98.0]",143.0,9.788525,False,False,0.4,"[101.0, 143.0]",
13,0,13,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c13.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c13.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[75, 54, 115, 147]",40,93,"[95.0, 100.5]",147.0,10.972325,False,False,0.4,"[95.0, 147.0]",
14,0,14,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c14.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c14.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[64, 56, 125, 147]",61,91,"[94.5, 101.5]",147.0,11.1013,False,False,0.4,"[94.5, 147.0]",
15,0,15,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c15.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c15.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[77, 55, 129, 148]",52,93,"[103.0, 101.5]",148.0,10.3262,False,False,0.4,"[103.0, 148.0]",
16,0,16,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c16.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c16.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[89, 54, 126, 142]",37,88,"[107.5, 98.0]",142.0,9.837575,False,False,0.4,"[107.5, 142.0]",
17,0,17,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c17.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c17.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[85, 54, 128, 146]",43,92,"[106.5, 100.0]",146.0,10.778925,False,False,0.4,"[106.5, 146.0]",
18,0,18,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c18.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c18.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[76, 56, 137, 145]",61,89,"[106.5, 100.5]",145.0,10.8595,False,False,0.4,"[106.5, 145.0]",
19,0,19,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c19.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c19.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[72, 56, 129, 146]",57,90,"[100.5, 101.0]",146.0,10.298275,False,False,0.4,"[100.5, 146.0]",
20,0,20,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c20.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c20.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[84, 54, 123, 147]",39,93,"[103.5, 100.5]",147.0,9.7895,False,False,0.4,"[103.5, 147.0]",
21,0,21,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c21.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c21.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[89, 54, 127, 145]",38,91,"[108.0, 99.5]",145.0,10.7895,False,False,0.4,"[108.0, 145.0]",
22,0,22,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c22.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c22.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 55, 136, 144]",56,89,"[108.0, 99.5]",144.0,11.502225,False,False,0.4,"[108.0, 144.0]",
